1,589,3833,1978,21,Bucková ,Pearl S.,Příběh jednoho manželství,
1,1220,7304,,0,Bulgakov,Michail,Novely a povídky,
1,1251,7364,,0,Bukowski,Charles,Těžký časy,
1,1195,7216,,32,Bulgakov,Michail,Život pana Moliéra,
1,1186,7177,1990,26,Bulgakov,Michail,Mistr a Markétka,
1,1196,7217,,32,Bulgakov,Michail,Život pana Moliéra,
1,1256,7380,1995,120,Bulgakov,Michail,Miniatury,
1,1166,7096,,48,Bulgakov,Michail,Bílá garda,
1,1153,7074,,16,Bulgakov,Michail,Psí srdce,
1,1197,7218,,22,Bunin,I.A.,Pohár života,
1,1150,7046,1989,23,Bykav,Vasil,Lom,
1,668,5017,1975,15,Byrol,R.E.,Sám a sám,
1,1158,7081,,17,Caldwell,Erskine,Tabáková cesta,
1,460,,,8,Caldwell,Erskine,Boží políčko,
1,503,,,17,Caldwell,Erskine,Tragický kus země,
1,883,5771,1983,24,Carlesová,Emilie,Polévka z divokých trav,
1,1281,7460,1999,0,Camus,Albert,Mor,
1,483,,,13,Camus,Albert,Cizinec ,Pád
1,1176,7157,1990,39,Capote,Truman,Chalodnokrevně,
1,550,3716,1970,17,Capote,Truman,Chalodnokrevně,
1,535,3671,1969,15,Capote,Truman,Snídaně u Tiffanyho,
1,1266,7422,,79,Carpenter,Humphrey,J.R.R.Tolkien životopis,
1,1179,7160,1990,14,Carpentier,Alejo,Barokní koncert – Harfa a stín,
1,776,5359,,49,Carr,John Dickson,Třikrát záhady starého Londýna,
1,520,3596,1969,39,Casanova,Giacomo,Historie mého života,
1,868,5694,,30,Clarke,Arthur C.,Zpráva o třetí planetě,
1,691,5087,1976,18,Colettová,Sidonie G.,Osení,
1,398,,,21,Connor,Edwin O’,Poslední Hurá,
1,893,5814,1984,30,Conrad,J.,Záchrana,
1,711,5239,1978,36,Cook,James,Cesta kolem světa,
1,592,836,1971,20,Coolen,Atoon,Hospoda U nesváru,
1,1253,7372,,26,Cooper,James Fenimore,Rudý pirát,
1,1217,7286,,0,Cornellius,Ryan,Nejdelší den,
1,754,5331,,0,Cousteau,Jacques-Yves,Delfíni,
1,902,5837,1984,14,Craven,Margaret,Slyšel jsem sovu zavolat své jméno,
1,1268,7425,,111,Crawfordová,Cora,Únik volné pokračování,
1,950,5964,1984,25,Crispin,E.,Labutí píseň,
1,825,5542,,32,Cristofanelli,Rolando,Deník Michelangela blázna,
1,528,3629,1969,19,Cronin,A. Y.,Citadela,
1,1248,7353,,0,Culloughová,Colleen Mc,Ptáci v trní,
1,661,4037,,61,Čechov,Anton Pavlovič,Tiché diagnózy,
1,1123,6552,1989,45,Čechov,Anton Pavlovič,Humoresky,
1,698,5109,,19,Čechov,Anton Pavlovič,Melancholický dekameron,
1,1305,7536,1915,0,Čechov,Anton Pavlovič,Melancholický dekameron,
1,780,5426,,40,Čechov,Anton Pavlovič,Hořké humoresky,
1,689,3928,1972,11,Čechov,Anton Pavlovič,Doktorské povídky,
1,1093,6471,1988,33,Čechov,Anton Pavlovič,Případy z praxe,
1,1116,6518,,29,Čechov,Anton Pavlovič,Povídky,
1,46,,,12,Čechov,Anton Pavlovič,Povídky II.,
1,47,264,1969,12,Čechov,Anton Pavlovič,Vykřičník,
1,1123,6558,1989,45,Čechov,Anton Pavlovič,Humoresky,
1,1277,7453,1998,0,Čechov,Anton Pavlovič,Celá Rus,
1,1280,7456,1998,0,Čechov,Anton Pavlovič,Můj život,
1,867,5693,1983,15,Dahl,Roald,Milostné rošády,
1,749,5326,,19,Dánielová,Anna,Irena chybí,
1,887,5792,1984,49,Danelsson,Bengt,Gaguin na Tahiti a Markézách,
1,944,5929,1984,37,Dauker,Henry,Lékaři,
1,422,,,14,Davidson,B.,Peřeje,
1,1264,7418,,162,Dawsonová,Suleika,Návrat Forsytů,
1,681,5046,1975,15,Day,C.,"Otec, hlava rodiny",
1,1019,6185,,24,Defoe,Daniel,Moll Flandersová,
1,1271,7428,,99,Dempster,Nigel,Za branami paláce,
1,1207,7259,,0,Desiato,Luca,Můj otec Galileo,
1,1072,6420,,13,Diavatov,"V. Diavatov, M. Milanov",Zloději ikon,
1,1319,7555,1915,0,Dickens,Charles,Americké poznámky,
1,1316,7552,1915,0,Dickens,Charles,Barnabáš Rudge,
1,553,3746,,23,Dickens,Charles,Deset italských novel,
1,1311,7547,1915,0,Dickens,Charles,Klub Pickwickův,
1,56,421,1957,0,Dickens,Charles,Mikuláš Nickleby,
1,878,5766,1983,56,Dickens,Charles,Kronika Pickwickova klubu I.,
1,879,5767,,56,Dickens,Charles,Kronika Pickwickova klubu,
1,1314,7550,1915,0,Dickens,Charles,Malá Dorritka I.,
1,1315,7551,1915,0,Dickens,Charles,Malá Dorritka II.,
1,552,3745,,45,Dickens,Charles,Malá Dorritka I. II.,
1,479,,,21,Dickens,Charles,Nadějné vyhlídky,
1,538,3864,1970,17,Dickens,Charles,Vánoční povídky,
1,1285,7503,1910,0,Dickens,Charles,Oliver Twist,
1,1302,7524,1912,0,Dickens,Charles,Nadějné vyhlídky,
1,748,5325,,24,Döblin,Alfred,Berlín – Alexandrovo náměstí,
1,1088,6466,1988,25,Doktorow,Edgar L.,Vítejte do zlých časů,
1,459,,,13,Dostojevskij,Fjodor M.,Bílé noci,
1,1346,7582,1915,0,Dostojevskij,Fjodor M.,Chudí lidé,
1,1119,6543,1989,45,Dostojevskij,Fjodor M.,Zločin a trest,
1,1121,6545,1989,45,Dostojevskij,Fjodor M.,Zločin a trest,
1,1120,6544,1989,45,Dostojevskij,Fjodor M.,Zločin a trest,
1,1092,6470,1988,45,Dostojevskij,Fjodor M.,Zločin a trest,
1,494,,,25,Dostojevskij,Fjodor M.,Zločin a trest,
1,662,4040,1973,17,Dostojevskij,Fjodor M.,Zápisky z mrtvého domu,
1,998,6111,1985,24,Dostojevskij,Fjodor M.,Věčný manžel,
1,962,6011,1985,25,Dostojevskij,Fjodor M.,Neobyčejné příběhy,
1,651,4063,1975,47,Dostojevskij,Fjodor M.,Idiot,
1,652,4005,,0,Dostojevskij,Fjodor M.,Bílé noci a jiné prózy,
1,396,,,34,Dostojevskij,Fjodor M.,Idiot,
1,1134,7002,1989,46,Doyle,Arthur Conan,Muž s dýkou a houslemi,
1,559,3766,,43,Dreiser,Thedore,Americká tragédie,
1,468,,,20,Dreiser,Thedore,Stoick,
1,417,,,27,Dreiser,Thedore,Finačník,
1,943,5928,1984,0,Dubov,Nikolaj,Rodinné štěstí,
1,1323,7559,1915,0,Dumas,Alexandre,Královna Margot,
1,1113,6515,,92,Dumas,Alexandre,Tři mušketýři II.,
1,1112,6514,,92,Dumas,Alexandre,Tři mušketýři I.,
1,675,5037,1975,89,Dumas,Alexandre,Hrabě Monte Christo,
1,1300,7522,1912,0,Dumas,Alexandre,Hrabě Monte Christo,
1,690,5075,1975,47,Dumas,Alexandre,Královna Margot,
1,706,5161,,29,Durrell,Gerald,Chytněte mi leguána,
1,852,,1982,22,Durrell,Gerald,Opilý prales,
1,1117,6519,,30,Durrell,Gerald,Ostrov v nebezpečí,
1,747,5307,,14,Durrell,Gerald,Šeptající země,
1,733,5293,1974,16,Durrell,Gerald,Zoo v kufru,
1,1021,6187,2000,36,Eco,Umberto,Jméno Růže,
1,753,5330,,42,Effel,Jean,Mezi námi zvířaty,
1,839,5571,,34,Ellison,Ralph,Neviditelný,
1,854,,1982,12,Engelmann,Bert,Hotel Bilderberg,
1,416,,,26,Erenburg,Ilia,Devátá vlna,
